³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-31 21,432523,2,6459451,6701,6703,6891974
2023-10-31 21,432523,3002,6459451,3700,6702,6891974
2023-10-31 21,759059,2602,6132971,4100,6702,6892031
2023-10-31 21,840718,2502,6051331,4200,6702,6892050
2023-10-31 21,22309,3502,7687939,2200,5702,7710249
2023-10-31 21,22309,3502,7933369,1900,5402,7955679
2023-10-31 21,22309,3502,6300169,3900,7402,6322479
2023-10-31 21,22309,3502,6399895,3777,7279,6422205
2023-10-31 21,22309,3502,7033228,3000,6502,7055538
2023-10-31 21,22309,3502,7114708,2900,6402,7137018
2023-10-31 22,22309,3502,7114708,2900,6402,7137018
2023-10-31 22,185528,3302,6951448,3100,6402,7136976
2023-10-31 22,511864,2902,6624967,3500,6402,7136832
2023-10-31 22,674983,2702,6461907,3700,6402,7136890
2023-10-31 22,757042,2602,6379877,3800,6402,7136919
2023-10-31 22,839101,2502,6297857,3900,6402,7136958
2023-10-31 22,920003,2402,6216887,4000,6402,7136891
2023-10-31 23,920003,2402,6216887,4000,6402,7136891
2023-10-31 23,1081023,2202,6055817,4200,6402,7136840
2023-10-31 23,1081023,2202,5054817,4200,6402,6135840
2023-10-31 23,1161782,2102,4974017,4300,6402,6135800
2023-10-31 23,2242542,2002,4893177,4400,6402,7135719
2023-10-31 23,2323501,1902,4812167,4500,6402,7135669
2023-10-31 23,2485520,1702,4650107,4700,6402,7135628
2023-10-31 23,1674115,2702,5461407,3700,6402,7135522
2023-10-31 23,1915794,2402,5219797,4000,6402,7135591
2023-10-31 23,1996154,2302,5139437,4100,6402,7135591
2023-10-31 23,2076613,2202,5059017,4200,6402,7135631
2023-10-31 23,2237433,2002,4898287,4400,6402,7135720
2023-10-31 23,1432031,3000,5703887,3400,6401,7135918
2023-11-01 00,1432031,3000,5703887,3400,6401,7135918
2023-11-01 00,1592150,2800,5543887,3600,6401,7136038
2023-11-01 00,2311291,1900,4825037,4500,6401,7136328
2023-11-01 00,947053,3599,6991387,1800,5400,7938441
2023-11-01 00,1026814,3499,6911587,1900,5400,7938401
2023-11-01 00,1983935,2299,5953907,3100,5400,7937842
2023-11-01 00,2941056,1099,4995437,4300,5400,7936493
2023-11-01 00,3658897,199,4276737,5200,5400,7935634
2023-11-01 01,3658897,199,4276737,5200,5400,7935634
2023-11-01 02,3658897,199,4276737,5200,5400,7935634
2023-11-01 03,3658897,199,4276737,5200,5400,7935634
2023-11-01 04,3658897,199,4276737,5200,5400,7935634
2023-11-01 05,3658897,199,4276737,5200,5400,7935634
2023-11-01 06,3658897,199,4276737,5200,5400,7935634
2023-11-01 06,3657090,199,3470237,6200,6400,7127328
2023-11-01 07,3657090,199,3470237,6200,6400,7127328
2023-11-01 07,2848686,1198,4278937,5200,6399,7127624
2023-11-01 07,3091565,898,4036157,5500,6399,7127722
2023-11-01 07,1474757,2897,5653367,3500,6397,7128124
2023-11-01 08,1474757,2897,5653367,3500,6397,7128124
2023-11-01 08,1555916,2797,5572247,3600,6397,7128164
2023-11-01 08,2367510,1797,4761037,4600,6397,7128548
2023-11-01 08,2610988,1497,4517657,4900,6397,7128646
2023-11-01 08,3750518,97,3376987,6300,6397,7127506
2023-11-01 09,3750518,97,3376987,6300,6397,7127506
2023-11-01 10,3750518,97,3376987,6300,6397,7127506
2023-11-01 11,3750518,97,3376987,6300,6397,7127506
2023-11-01 12,3750518,97,3376987,6300,6397,7127506
2023-11-01 13,3750518,97,3376987,6300,6397,7127506
2023-11-01 13,3782642,57,3344856,6340,6397,7127499
2023-11-01 14,3822802,7,3304722,6390,6397,7127525
2023-11-01 15,3822802,7,3304722,6390,6397,7127525
2023-11-06 16,3579608,95,3550415,6298,6393,7130023
2023-11-06 17,3579608,95,3550415,6298,6393,7130023
2023-11-06 18,3579608,95,3550415,6298,6393,7130023
2023-11-06 18,2569658,1195,4561615,5198,6393,7131273
2023-11-06 18,2753366,995,4377965,5398,6393,7131331
2023-11-06 18,3583607,94,3549435,6298,6392,7133042
2023-11-06 18,2479716,1294,4654585,5098,6392,7134301
2023-11-06 19,3216947,494,3917704,5898,6392,7134651
2023-11-06 19,3585163,94,3549684,6298,6392,7134847
2023-11-06 19,2660701,1094,4474187,5298,6392,7134889
2023-11-06 19,3584539,94,3550677,6298,6392,7135217
2023-11-06 19,2852325,894,4283997,5498,6392,7136322
2023-11-06 19,63931,3894,7072796,2498,6392,7136727
2023-11-06 19,1271027,2594,5866286,3798,6392,7137313
2023-11-06 19,1363881,2494,5773496,3898,6392,7137377
2023-11-06 19,1363881,2394,5773496,3898,6292,7137377
2023-11-06 19,3404460,294,3734169,6098,6392,7138630
2023-11-06 20,588967,94,6548759,6298,6392,7137727
2023-11-06 20,588967,6294,6548759,97,6391,7137727
2023-11-06 20,773475,6094,6364339,297,6391,7137815
2023-11-06 20,1236743,5594,5901309,797,6391,7138053
2023-11-06 20,1329397,5494,5808679,897,6391,7138077
2023-11-06 20,1421951,5394,5716129,997,6391,7138080
2023-11-06 20,1514404,5294,5623779,1097,6391,7138184
2023-11-06 20,2716303,3994,4422479,2397,6391,7138783
2023-11-06 20,2993564,3694,4145329,2697,6391,7138894
2023-11-06 20,3178372,3494,3960549,2897,6391,7138922
2023-11-06 20,3732995,2894,3406199,3497,6391,7139194
2023-11-06 20,3917902,2694,3221379,3697,6391,7139282
2023-11-06 20,4194963,2394,2944389,3997,6391,7139353
2023-11-06 20,4748986,1794,2390589,4597,6391,7139576
2023-11-06 20,3916678,2694,3222599,3697,6391,7139278
2023-11-06 20,1135288,5693,6006399,697,6390,7141688
2023-11-06 20,1693009,5093,5449089,1297,6390,7142099
2023-11-06 20,764545,6093,6377489,297,6390,7142035
2023-11-06 20,950952,5893,6191089,497,6390,7142042
2023-11-06 20,1230712,5593,5911449,797,6390,7142162
2023-11-06 20,1510472,5293,5631789,1097,6390,7142262
2023-11-06 20,1697279,5093,5444969,1297,6390,7142248
2023-11-06 20,764813,6093,6377469,297,6390,7142282
2023-11-06 21,764813,6093,6377469,297,6390,7142282
2023-11-06 21,858666,5993,6377469,297,6290,7236135
2023-11-06 21,952619,5893,6189710,497,6390,7142329
2023-11-06 21,1328830,5493,5813710,897,6390,7142541
2023-11-06 21,1610989,5193,5531635,1197,6390,7142625
2023-11-06 21,1798595,4993,5344035,1397,6390,7142631
2023-11-06 21,2739025,3993,4403985,2397,6390,7143011
2023-11-06 21,2926531,3793,4216585,2597,6390,7143117
2023-11-06 21,3113838,3593,4029355,2797,6390,7143193
2023-11-06 21,1240902,5593,5902555,797,6390,7143457
2023-11-06 21,1803520,4993,5340095,1397,6390,7143616
2023-11-06 21,2559098,4193,4584765,2197,6390,7143864
2023-11-06 21,3314720,3393,3829535,2997,6390,7144256
2023-11-06 21,4164795,2493,2979945,3897,6390,7144741
2023-11-06 21,5109023,1493,2036225,4897,6390,7145248
2023-11-06 21,6433960,93,711895,6297,6390,7145856
2023-11-06 21,1595886,5193,5550835,1197,6390,7146722
2023-11-06 21,2167200,4593,4979725,1797,6390,7146926
2023-11-06 21,2452558,4293,4694395,2097,6390,7146953
2023-11-06 21,2547510,4193,4599395,2197,6390,7146906
2023-11-06 21,3023772,3693,4123175,2697,6390,7146948
2023-11-06 21,2163447,4593,4982295,1797,6390,7145743
2023-11-06 21,1208970,5593,5936695,797,6390,7145666
2023-11-06 21,1495626,5293,5650135,1097,6390,7145762
2023-11-06 21,542150,6293,6603635,97,6390,7145786
2023-11-06 21,637202,6193,6508545,197,6390,7145748
2023-11-06 21,1686078,5093,5460245,1297,6390,7146323
2023-11-06 21,2449096,4293,4697795,2097,6390,7146892
2023-11-06 21,1499621,5293,5647395,1097,6390,7147017
2023-11-06 21,1784479,4993,5362645,1397,6390,7147125
2023-11-06 21,2259741,4493,4887565,1897,6390,7147307
2023-11-06 21,2735003,3993,4412525,2397,6390,7147529
2023-11-06 21,3685528,2993,3462395,3397,6390,7147924
2023-11-06 21,3780580,2893,3367385,3497,6390,7147966
2023-11-06 21,4065738,2493,3082355,3797,6290,7148093
2023-11-06 21,4160790,2493,2987345,3897,6390,7148136
2023-11-06 22,4160790,2493,2987345,3897,6390,7148136
2023-11-06 22,1294358,4493,5854345,897,5390,7148703
2023-11-06 22,1294358,5493,5854345,897,6390,7148703
2023-11-06 22,1484463,5293,5664325,1097,6390,7148788
2023-11-06 22,1674468,5093,5474335,1297,6390,7148803
2023-11-06 22,1769520,4993,5379325,1397,6390,7148846
2023-11-06 22,2813398,3893,4336035,2497,6390,7149434
2023-11-06 22,2908050,3793,4241385,2597,6390,7149436
2023-11-06 22,1014104,5793,6134385,597,6390,7148490
2023-11-06 22,1297762,5493,5850905,897,6390,7148668
2023-11-06 22,1581420,5193,5567405,1197,6390,7148826
2023-11-06 22,1959531,4793,5189385,1597,6390,7148917
2023-11-06 22,2810396,3893,4338945,2497,6390,7149342
2023-11-06 22,2999302,3693,4150135,2697,6390,7149437
2023-11-06 22,3281461,3393,3868135,2997,6390,7149596
2023-11-06 22,3375713,3293,3773915,3097,6390,7149629
2023-11-06 22,4130036,2493,3020215,3897,6390,7150252
2023-11-06 22,5356822,1193,1794105,5197,6390,7150928
2023-11-06 22,6396003,93,745848,6307,6400,7141851
2023-11-06 22,5447529,1093,1694148,5307,6400,7141677
2023-11-06 22,705159,6093,6437348,307,6400,7142507
2023-11-06 23,705159,6093,6437348,307,6400,7142507
2023-11-06 23,802110,5993,6340438,407,6400,7142549
2023-11-06 23,996013,5793,6146618,607,6400,7142632
2023-11-06 23,2256383,4493,4887038,1907,6400,7143421
2023-11-06 23,2936442,3793,4207368,2607,6400,7143811
2023-11-06 23,3714253,2993,3429848,3407,6400,7144102
2023-11-06 23,4687766,1993,2457168,4407,6400,7144935
2023-11-06 23,6245387,393,900558,6007,6400,7145946
2023-11-06 23,4793169,1891,2355043,4507,6398,7148212
2023-11-06 23,4986872,1691,2161423,4707,6398,7148296
2023-11-06 23,5083924,1591,2161423,4707,6298,7245347
2023-11-06 23,708777,6070,6444244,307,6378,7153022
2023-11-07 00,708777,6070,6444244,307,6378,7153022
2023-11-07 00,1094584,5670,6058574,707,6378,7153159
2023-11-07 00,1673295,5070,5480104,1307,6378,7153399
2023-11-07 00,1865899,4870,5287504,1507,6378,7153403
2023-11-07 00,905419,5870,6248204,507,6378,7153623
2023-11-07 00,1097922,5670,6055764,707,6378,7153687
2023-11-07 00,1386578,5370,5767244,1007,6378,7153822
2023-11-07 00,1482830,5270,5671094,1107,6378,7153924
